#       xZ     Ytp_tot
#
  0.976800   0.159856
  0.977050   0.162428
  0.977300   0.164821
  0.977550   0.167161
  0.977800   0.169339
  0.978050   0.171308
  0.978300   0.173331
  0.978550   0.175344
  0.978800   0.177164
  0.979050   0.178903
  0.979300   0.180627
  0.979550   0.182221
  0.979800   0.183616
  0.980050   0.184923
  0.980300   0.186443
  0.980550   0.188039
  0.980800   0.189477
  0.981050   0.190803
  0.981300   0.191944
  0.981550   0.192993
  0.981800   0.194043
  0.982050   0.195096
  0.982300   0.196221
  0.982550   0.197446
  0.982800   0.198794
  0.983050   0.199977
  0.983300   0.201064
  0.983550   0.202177
  0.983800   0.203146
  0.984050   0.203967
  0.984300   0.204911
  0.984550   0.205682
  0.984800   0.206277
  0.985050   0.207121
  0.985300   0.207964
  0.985550   0.208555
  0.985800   0.209144
  0.986050   0.210036
  0.986300   0.210776
  0.986550   0.211489
  0.986800   0.212511
  0.987050   0.213405
  0.987300   0.214119
  0.987550   0.214831
  0.987800   0.215491
  0.988050   0.215966
  0.988300   0.216623
  0.988550   0.217756
  0.988800   0.218706
  0.989050   0.219285
  0.989300   0.219915
  0.989550   0.220465
  0.989800   0.221041
  0.990050   0.221913
  0.990300   0.222841
  0.990550   0.223716
  0.990800   0.224784
  0.991050   0.225826
  0.991300   0.226651
  0.991550   0.227668
  0.991800   0.228771
  0.992050   0.229569
  0.992300   0.230310
  0.992550   0.231331
  0.992800   0.232297
  0.993050   0.233348
  0.993300   0.234796
  0.993550   0.236277
  0.993800   0.237418
  0.994050   0.238530
  0.994300   0.239816
  0.994550   0.240844
  0.994800   0.242045
  0.995050   0.243624
  0.995300   0.244740
  0.995550   0.245562
  0.995800   0.246852
  0.996050   0.248407
  0.996300   0.249816
  0.996550   0.251197
  0.996800   0.252429
  0.997050   0.253302
  0.997300   0.254291
  0.997550   0.255759
  0.997800   0.257378
  0.998050   0.258755
  0.998300   0.260193
  0.998550   0.261599
  0.998800   0.262608
  0.999050   0.263736
  0.999300   0.265136
  0.999550   0.266228
  0.999800   0.267223
  1.000050   0.268461
  1.000300   0.269542
  1.000550   0.270462
  1.000800   0.271597
  1.001050   0.272885
  1.001300   0.273982
  1.001550   0.274824
  1.001800   0.275819
  1.002050   0.276842
  1.002300   0.277671
  1.002550   0.278783
  1.002800   0.280243
  1.003050   0.281350
  1.003300   0.282101
  1.003550   0.283106
  1.003800   0.284141
  1.004050   0.285108
  1.004300   0.286170
  1.004550   0.287035
  1.004800   0.288027
  1.005050   0.289212
  1.005300   0.290201
  1.005550   0.290990
  1.005800   0.291580
  1.006050   0.291804
  1.006300   0.291956
  1.006550   0.292566
  1.006800   0.293373
  1.007050   0.294111
  1.007300   0.294913
  1.007550   0.295747
  1.007800   0.296412
  1.008050   0.296941
  1.008300   0.297467
  1.008550   0.298091
  1.008800   0.298815
  1.009050   0.299302
  1.009300   0.300023
  1.009550   0.300845
  1.009800   0.301700
  1.010050   0.302863
  1.010300   0.303787
  1.010550   0.304266
  1.010800   0.304777
  1.011050   0.305389
  1.011300   0.306069
  1.011550   0.306748
  1.011800   0.307495
  1.012050   0.308345
  1.012300   0.309263
  1.012550   0.310007
  1.012800   0.310505
  1.013050   0.311140
  1.013300   0.311984
  1.013550   0.312756
  1.013800   0.313421
  1.014050   0.314013
  1.014300   0.314744
  1.014550   0.315509
  1.014800   0.316201
  1.015050   0.316962
  1.015300   0.317471
  1.015550   0.317727
  1.015800   0.318086
  1.016050   0.318764
  1.016300   0.319547
  1.016550   0.320435
  1.016800   0.321682
  1.017050   0.322640
  1.017300   0.323161
  1.017550   0.323751
  1.017800   0.324301
  1.018050   0.324811
  1.018300   0.325499
  1.018550   0.326221
  1.018800   0.327122
  1.019050   0.328021
  1.019300   0.328512
  1.019550   0.329110
  1.019800   0.329852
  1.020050   0.330257
  1.020300   0.330621
  1.020550   0.331313
  1.020800   0.331741
  1.021050   0.332165
  1.021300   0.332584
  1.021550   0.332811
  1.021800   0.333369
  1.022050   0.334071
  1.022300   0.334433
  1.022550   0.334826
  1.022800   0.335214
  1.023050   0.335559
  1.023300   0.336200
  1.023550   0.336722
  1.023800   0.336674
  1.024050   0.336959
  1.024300   0.337351
  1.024550   0.337359
  1.024800   0.337549
  1.025050   0.337658
  1.025300   0.337531
