#       xJ          yJ
#  
  1.012300   0.942234
  1.012550   0.942552
  1.012800   0.942128
  1.013050   0.942128
  1.013300   0.942764
  1.013550   0.943188
  1.013800   0.943294
  1.014050   0.943188
  1.014300   0.943506
  1.014550   0.943930
  1.014800   0.944142
  1.015050   0.944566
  1.015300   0.944248
  1.015550   0.943188
  1.015800   0.942446
  1.016050   0.942658
  1.016300   0.943188
  1.016550   0.944036
  1.016800   0.945944
  1.017050   0.947004
  1.017300   0.946792
  1.017550   0.946792
  1.017800   0.946686
  1.018050   0.946474
  1.018300   0.946792
  1.018550   0.947216
  1.018800   0.948170
  1.019050   0.949124
  1.019300   0.948912
  1.019550   0.949018
  1.019800   0.949548
  1.020050   0.949124
  1.020300   0.948594
  1.020550   0.949018
  1.020800   0.948700
  1.021050   0.948382
  1.021300   0.948064
  1.021550   0.947216
  1.021800   0.947322
  1.022050   0.947852
  1.022300   0.947428
  1.022550   0.947110
  1.022800   0.946792
  1.023050   0.946368
  1.023300   0.946792
  1.023550   0.946898
  1.023800   0.945414
  1.024050   0.944884
  1.024300   0.944672
  1.024550   0.943400
  1.024800   0.942658
  1.025050   0.941704
  1.025300   0.940114
  1.025550   0.939372
  1.025800   0.939478
  1.026050   0.938948
  1.026300   0.938524
  1.026550   0.937570
  1.026800   0.935344
  1.027050   0.934072
  1.027300   0.933542
  1.027550   0.933012
  1.027800   0.932376
  1.028050   0.930786
  1.028300   0.928030
  1.028550   0.926546
  1.028800   0.926440
  1.029050   0.924744
  1.029300   0.922730
  1.029550   0.921988
  1.029800   0.921034
  1.030050   0.919656
  1.030300   0.918066
  1.030550   0.916900
  1.030800   0.915310
  1.031050   0.913190
  1.031300   0.911706
  1.031550   0.910646
  1.031800   0.909162
  1.032050   0.908420
  1.032300   0.907890
  1.032550   0.905876
  1.032800   0.904074
  1.033050   0.903438
  1.033300   0.901954
  1.033550   0.899728
  1.033800   0.898138
  1.034050   0.897396
  1.034300   0.897184
  1.034550   0.897820
  1.034800   0.898138
  1.035050   0.896336
  1.035300   0.894534
  1.035550   0.894110
  1.035800   0.893792
  1.036050   0.892732
  1.036300   0.892308
  1.036550   0.892626
  1.036800   0.891884
  1.037050   0.890718
  1.037300   0.891142
  1.037550   0.892308
  1.037800   0.893262
  1.038050   0.894534
  1.038300   0.895700
  1.038550   0.895488
  1.038800   0.895806
  1.039050   0.897396
  1.039300   0.897290
  1.039550   0.896230
  1.039800   0.896866
  1.040050   0.898668
  1.040300   0.900046
  1.040550   0.901848
  1.040800   0.903862
  1.041050   0.904392
  1.041300   0.904604
  1.041550   0.905876
  1.041800   0.907360
  1.042050   0.909056
  1.042300   0.911070
  1.042550   0.913296
  1.042800   0.914038
  1.043050   0.914462
  1.043300   0.916476
  1.043550   0.918172
  1.043800   0.919444
  1.044050   0.921458
  1.044300   0.922730
  1.044550   0.923578
  1.044800   0.924850
  1.045050   0.926864
  1.045300   0.928030
  1.045550   0.928666
  1.045800   0.930786
  1.046050   0.932800
  1.046300   0.932270
  1.046550   0.932376
  1.046800   0.934390
  1.047050   0.935768
  1.047300   0.936192
  1.047550   0.936934
  1.047800   0.936934
  1.048050   0.935980
  1.048300   0.936828
  1.048550   0.938630
  1.048800   0.938842
  1.049050   0.938948
  1.049300   0.939690
  1.049550   0.939160
  1.049800   0.937570
  1.050050   0.936828
  1.050300   0.937146
  1.050550   0.936722
  1.050800   0.936510
  1.051050   0.937888
  1.051300   0.937994
  1.051550   0.937040
  1.051800   0.936934
  1.052050   0.935662
  1.052300   0.932482
  1.052550   0.930892
  1.052800   0.930892
  1.053050   0.930362
  1.053300   0.930468
  1.053550   0.930786
  1.053800   0.929514
  1.054050   0.927712
  1.054300   0.926864
  1.054550   0.926440
  1.054800   0.925062
  1.055050   0.924108
  1.055300   0.923684
  1.055550   0.922942
  1.055800   0.922412
  1.056050   0.922200
  1.056300   0.921776
  1.056550   0.921034
  1.056800   0.920928
  1.057050   0.921458
  1.057300   0.921034
  1.057550   0.920716
  1.057800   0.920822
  1.058050   0.920080
  1.058300   0.919656
  1.058550   0.921458
  1.058800   0.922836
  1.059050   0.922412
  1.059300   0.923578
  1.059550   0.925804
  1.059800   0.926334
  1.060050   0.926334
  1.060300   0.927606
  1.060550   0.928666
  1.060800   0.928454
  1.061050   0.929196
  1.061300   0.930362
  1.061550   0.930468
  1.061800   0.931316
  1.062050   0.933224
  1.062300   0.934920
  1.062550   0.937040
  1.062800   0.939584
  1.063050   0.940750
  1.063300   0.940962
  1.063550   0.941492
  1.063800   0.941810
  1.064050   0.942976
  1.064300   0.944778
  1.064550   0.945838
  1.064800   0.945520
  1.065050   0.944990
  1.065300   0.945944
  1.065550   0.946792
  1.065800   0.947004
  1.066050   0.947958
  1.066300   0.949018
  1.066550   0.949230
  1.066800   0.948806
  1.067050   0.948382
  1.067300   0.947640
  1.067550   0.947322
  1.067800   0.947534
  1.068050   0.947004
  1.068300   0.945308
  1.068550   0.944566
  1.068800   0.944460
  1.069050   0.942870
  1.069300   0.940644
  1.069550   0.939584
  1.069800   0.937888
  1.070050   0.935132
  1.070300   0.933860
  1.070550   0.933436
  1.070800   0.931210
  1.071050   0.929302
  1.071300   0.928348
  1.071550   0.926334
  1.071800   0.923578
  1.072050   0.921988
  1.072300   0.920398
  1.072550   0.917324
  1.072800   0.915310
  1.073050   0.913826
  1.073300   0.911282
  1.073550   0.909268
  1.073800   0.907890
  1.074050   0.905982
  1.074300   0.904074
  1.074550   0.902484
  1.074800   0.899728
  1.075050   0.896548
  1.075300   0.894852
  1.075550   0.893580
  1.075800   0.891248
  1.076050   0.888916
  1.076300   0.888068
  1.076550   0.886478
  1.076800   0.884252
  1.077050   0.883722
  1.077300   0.882874
  1.077550   0.881390
  1.077800   0.881496
